id,year,country,city,category,firstname,surname,gender
281,1995,USA,"Cambridge, MA",chemistry,Mario J.,Molina,male
282,1995,USA,"Irvine, CA",chemistry,F. Sherwood,Rowland,male
283,1996,USA,"Houston, TX",chemistry,Robert F.,Curl Jr.,male
284,1996,GBR,Brighton,chemistry,Sir Harold W.,Kroto,male
285,1996,USA,"Houston, TX",chemistry,Richard E.,Smalley,male
286,1997,USA,"Los Angeles, CA",chemistry,Paul D.,Boyer,male
287,1997,GBR,Cambridge,chemistry,John E.,Walker,male
288,1997,DNK,Aarhus,chemistry,Jens C.,Skou,male
289,1998,USA,"Santa Barbara, CA",chemistry,Walter,Kohn,male
290,1998,USA,"Evanston, IL",chemistry,John A.,Pople,male
291,1999,USA,"Pasadena, CA",chemistry,Ahmed H.,Zewail,male
292,1901,DEU,Marburg,medicine,Emil Adolf,von Behring,male
293,1902,GBR,Liverpool,medicine,Ronald,Ross,male
294,1903,DNK,Copenhagen,medicine,Niels Ryberg,Finsen,male
295,1904,,St. Petersburg,medicine,Ivan Petrovich,Pavlov,male
296,1905,DEU,Berlin,medicine,Robert,Koch,male
297,1906,ITA,Pavia,medicine,Camillo,Golgi,male
298,1906,ESP,Madrid,medicine,Santiago,Ramón y Cajal,male
299,1907,FRA,Paris,medicine,Charles Louis Alphonse,Laveran,male
300,1908,FRA,Paris,medicine,Ilya Ilyich,Mechnikov,male
301,1908,DEU,Göttingen,medicine,Paul,Ehrlich,male
302,1909,CHE,Berne,medicine,Emil Theodor,Kocher,male
303,1910,DEU,Heidelberg,medicine,Albrecht,Kossel,male
304,1911,SWE,Uppsala,medicine,Allvar,Gullstrand,male
305,1912,USA,"New York, NY",medicine,Alexis,Carrel,male
306,1913,FRA,Paris,medicine,Charles Robert,Richet,male
307,1914,AUT,Vienna,medicine,Robert,Bárány,male
308,1919,BEL,Brussels,medicine,Jules,Bordet,male
309,1920,DNK,Copenhagen,medicine,Schack August Steenberg,Krogh,male
310,1922,GBR,London,medicine,Archibald Vivian,Hill,male
311,1922,DEU,Kiel,medicine,Otto Fritz,Meyerhof,male
312,1923,CAN,Toronto,medicine,Frederick Grant,Banting,male
313,1923,CAN,Toronto,medicine,John James Rickard,Macleod,male
314,1924,,Leiden,medicine,Willem,Einthoven,male
315,1926,DNK,Copenhagen,medicine,Johannes Andreas Grib,Fibiger,male
316,1927,AUT,Vienna,medicine,Julius,Wagner-Jauregg,male
317,1928,,Tunis,medicine,Charles Jules Henri,Nicolle,male
318,1929,,Utrecht,medicine,Christiaan,Eijkman,male
319,1929,GBR,Cambridge,medicine,Sir Frederick Gowland,Hopkins,male
320,1930,USA,"New York, NY",medicine,Karl,Landsteiner,male
321,1931,DEU,Berlin-Dahlem,medicine,Otto Heinrich,Warburg,male
322,1932,GBR,Oxford,medicine,Sir Charles Scott,Sherrington,male
323,1932,GBR,Cambridge,medicine,Edgar Douglas,Adrian,male
324,1933,USA,"Pasadena, CA",medicine,Thomas Hunt,Morgan,male
325,1934,USA,"Rochester, NY",medicine,George Hoyt,Whipple,male
326,1934,USA,"Cambridge, MA",medicine,George Richards,Minot,male
327,1934,USA,"Cambridge, MA",medicine,William Parry,Murphy,male
328,1935,DEU,Breisgau,medicine,Hans,Spemann,male
329,1936,GBR,London,medicine,Sir Henry Hallett,Dale,male
330,1936,AUT,Graz,medicine,Otto,Loewi,male
331,1937,HUN,Szeged,medicine,Albert,von Szent-Györgyi Nagyrápolt,male
332,1938,BEL,Ghent,medicine,Corneille Jean François,Heymans,male
333,1939,DEU,Munster,medicine,Gerhard,Domagk,male
334,1943,DNK,Copenhagen,medicine,Henrik Carl Peter,Dam,male
335,1943,USA,"St. Louis, MO",medicine,Edward Adelbert,Doisy,male
336,1944,USA,"St. Louis, MO",medicine,Joseph,Erlanger,male
337,1944,USA,"New York, NY",medicine,Herbert Spencer,Gasser,male
338,1945,GBR,London,medicine,Sir Alexander,Fleming,male
339,1945,GBR,Oxford,medicine,Ernst Boris,Chain,male
340,1945,GBR,Oxford,medicine,Sir Howard Walter,Florey,male
341,1946,USA,"Bloomington, IN",medicine,Hermann Joseph,Muller,male
342,1947,USA,"St. Louis, MO",medicine,Carl Ferdinand,Cori,male
343,1947,USA,"St. Louis, MO",medicine,Gerty Theresa,"Cori, née Radnitz",female
344,1947,ARG,Buenos Aires,medicine,Bernardo Alberto,Houssay,male
345,1948,CHE,Basel,medicine,Paul Hermann,Müller,male
346,1949,CHE,Zurich,medicine,Walter Rudolf,Hess,male
347,1949,PRT,Lisbon,medicine,Antonio Caetano de Abreu Freire Egas,Moniz,male
348,1950,USA,"Rochester, MN",medicine,Edward Calvin,Kendall,male
349,1950,CHE,Basel,medicine,Tadeus,Reichstein,male
350,1950,USA,"Rochester, MN",medicine,Philip Showalter,Hench,male
351,1951,USA,"New York, NY",medicine,Max,Theiler,male
352,1952,USA,"New Brunswick, NJ",medicine,Selman Abraham,Waksman,male
353,1953,GBR,Sheffield,medicine,Hans Adolf,Krebs,male
354,1953,USA,"Boston, MA",medicine,Fritz Albert,Lipmann,male
355,1954,USA,"Boston, MA",medicine,John Franklin,Enders,male
356,1954,USA,"Boston, MA",medicine,Thomas Huckle,Weller,male
357,1954,USA,"Cleveland, OH",medicine,Frederick Chapman,Robbins,male
358,1955,SWE,Stockholm,medicine,Axel Hugo Theodor,Theorell,male
359,1956,USA,"New York, NY",medicine,André Frédéric,Cournand,male
360,1956,,Mainz,medicine,Werner,Forssmann,male
361,1956,USA,"New York, NY",medicine,Dickinson W.,Richards,male
362,1957,ITA,Rome,medicine,Daniel,Bovet,male
363,1958,USA,"Pasadena, CA",medicine,George Wells,Beadle,male
364,1958,USA,"New York, NY",medicine,Edward Lawrie,Tatum,male
365,1958,USA,"Madison, WI",medicine,Joshua,Lederberg,male
366,1959,USA,"New York, NY",medicine,Severo,Ochoa,male
367,1959,USA,"Stanford, CA",medicine,Arthur,Kornberg,male
368,1960,AUS,Melbourne,medicine,Sir Frank Macfarlane,Burnet,male
369,1960,GBR,London,medicine,Peter Brian,Medawar,male
370,1961,USA,"Cambridge, MA",medicine,Georg,von Békésy,male
371,1962,GBR,Cambridge,medicine,Francis Harry Compton,Crick,male
372,1962,USA,"Cambridge, MA",medicine,James Dewey,Watson,male
373,1962,GBR,London,medicine,Maurice Hugh Frederick,Wilkins,male
374,1963,AUS,Canberra,medicine,Sir John Carew,Eccles,male
375,1963,GBR,Cambridge,medicine,Alan Lloyd,Hodgkin,male
376,1963,GBR,London,medicine,Andrew Fielding,Huxley,male
377,1964,USA,"Cambridge, MA",medicine,Konrad,Bloch,male
378,1964,,Munich,medicine,Feodor,Lynen,male
379,1965,FRA,Paris,medicine,François,Jacob,male
380,1965,FRA,Paris,medicine,André,Lwoff,male
381,1965,FRA,Paris,medicine,Jacques,Monod,male
382,1966,USA,"New York, NY",medicine,Peyton,Rous,male
383,1966,USA,"Chicago, IL",medicine,Charles Brenton,Huggins,male
384,1967,SWE,Stockholm,medicine,Ragnar,Granit,male
385,1967,USA,"New York, NY",medicine,Haldan Keffer,Hartline,male
386,1967,USA,"Cambridge, MA",medicine,George,Wald,male
387,1968,USA,"Ithaca, NY",medicine,Robert W.,Holley,male
388,1968,USA,"Madison, WI",medicine,Har Gobind,Khorana,male
389,1968,USA,"Bethesda, MD",medicine,Marshall W.,Nirenberg,male
390,1969,USA,"Pasadena, CA",medicine,Max,Delbrück,male
391,1969,USA,"Long Island, New York, NY",medicine,Alfred D.,Hershey,male
392,1969,USA,"Cambridge, MA",medicine,Salvador E.,Luria,male
393,1970,GBR,London,medicine,Sir Bernard,Katz,male
394,1970,SWE,Stockholm,medicine,Ulf,von Euler,male
395,1970,USA,"Bethesda, MD",medicine,Julius,Axelrod,male
396,1971,USA,"Nashville, TN",medicine,Earl W.,"Sutherland, Jr.",male
397,1972,USA,"New York, NY",medicine,Gerald M.,Edelman,male
398,1972,GBR,Oxford,medicine,Rodney R.,Porter,male
399,1973,,Munich,medicine,Karl,von Frisch,male
400,1973,AUT,Altenberg; Grünau im Almtal,medicine,Konrad,Lorenz,male
401,1973,GBR,Oxford,medicine,Nikolaas,Tinbergen,male
402,1974,BEL,Louvain,medicine,Albert,Claude,male
403,1974,USA,"New York, NY",medicine,Christian,de Duve,male
404,1974,USA,"New Haven, CT",medicine,George E.,Palade,male
405,1975,USA,"Cambridge, MA",medicine,David,Baltimore,male
406,1975,GBR,London,medicine,Renato,Dulbecco,male
407,1975,USA,"Madison, WI",medicine,Howard Martin,Temin,male
408,1976,USA,"Philadelphia, PA",medicine,Baruch S.,Blumberg,male
409,1976,USA,"Bethesda, MD",medicine,D. Carleton,Gajdusek,male
410,1977,USA,"San Diego, CA",medicine,Roger,Guillemin,male
411,1977,USA,"New Orleans, LA",medicine,Andrew V.,Schally,male
412,1977,USA,"Bronx, NY",medicine,Rosalyn,Yalow,female
413,1978,CHE,Basel,medicine,Werner,Arber,male
414,1978,USA,"Baltimore, MD",medicine,Daniel,Nathans,male
415,1978,USA,"Baltimore, MD",medicine,Hamilton O.,Smith,male
416,1979,USA,"Medford, MA",medicine,Allan M.,Cormack,male
417,1979,GBR,London,medicine,Godfrey N.,Hounsfield,male
418,1980,USA,"Boston, MA",medicine,Baruj,Benacerraf,male
419,1980,FRA,Paris,medicine,Jean,Dausset,male
420,1980,USA,"Bar Harbor, ME",medicine,George D.,Snell,male
421,1981,USA,"Pasadena, CA",medicine,Roger W.,Sperry,male
422,1981,USA,"Boston, MA",medicine,David H.,Hubel,male
423,1981,USA,"Boston, MA",medicine,Torsten N.,Wiesel,male
424,1982,SWE,Stockholm,medicine,Sune K.,Bergström,male
425,1982,SWE,Stockholm,medicine,Bengt I.,Samuelsson,male
426,1982,GBR,Beckenham,medicine,John R.,Vane,male
427,1983,USA,"Cold Spring Harbor, NY",medicine,Barbara,McClintock,female
428,1984,CHE,Basel,medicine,Niels K.,Jerne,male
429,1984,CHE,Basel,medicine,Georges J.F.,Köhler,male
430,1984,GBR,Cambridge,medicine,César,Milstein,male
431,1985,USA,"Dallas, TX",medicine,Michael S.,Brown,male
432,1985,USA,"Dallas, TX",medicine,Joseph L.,Goldstein,male
433,1986,USA,"Nashville, TN",medicine,Stanley,Cohen,male
434,1986,ITA,Rome,medicine,Rita,Levi-Montalcini,female
435,1987,USA,"Cambridge, MA",medicine,Susumu,Tonegawa,male
436,1988,GBR,London,medicine,Sir James W.,Black,male
437,1988,USA,"Research Triangle Park, NC",medicine,Gertrude B.,Elion,female
438,1988,USA,"Research Triangle Park, NC",medicine,George H.,Hitchings,male
439,1989,USA,"San Francisco, CA",medicine,J. Michael,Bishop,male
440,1989,USA,"San Francisco, CA",medicine,Harold E.,Varmus,male
441,1990,USA,"Boston, MA",medicine,Joseph E.,Murray,male
442,1990,USA,"Seattle, WA",medicine,E. Donnall,Thomas,male
443,1991,,Göttingen,medicine,Erwin,Neher,male
444,1991,,Heidelberg,medicine,Bert,Sakmann,male
445,1992,USA,"Seattle, WA",medicine,Edmond H.,Fischer,male
446,1992,USA,"Seattle, WA",medicine,Edwin G.,Krebs,male
447,1993,USA,"Beverly, MA",medicine,Richard J.,Roberts,male
448,1993,USA,"Cambridge, MA",medicine,Phillip A.,Sharp,male
449,1994,USA,"Dallas, TX",medicine,Alfred G.,Gilman,male
450,1994,USA,"Research Triangle Park, NC",medicine,Martin,Rodbell,male
451,1995,USA,"Pasadena, CA",medicine,Edward B.,Lewis,male
452,1995,,Tübingen,medicine,Christiane,Nüsslein-Volhard,female
453,1995,USA,"Princeton, NJ",medicine,Eric F.,Wieschaus,male
454,1996,USA,"Memphis, TN",medicine,Peter C.,Doherty,male
455,1996,CHE,Zurich,medicine,Rolf M.,Zinkernagel,male
456,1997,USA,"San Francisco, CA",medicine,Stanley B.,Prusiner,male
457,1998,USA,"Brooklyn, NY",medicine,Robert F.,Furchgott,male
458,1998,USA,"Los Angeles, CA",medicine,Louis J.,Ignarro,male
459,1998,USA,"Houston, TX",medicine,Ferid,Murad,male
460,1999,USA,"New York, NY",medicine,Günter,Blobel,male
461,1901,,,peace,Jean Henry,Dunant,male
462,1901,,,peace,Frédéric,Passy,male
463,1902,,,peace,Élie,Ducommun,male
464,1902,,,peace,Charles Albert,Gobat,male
465,1903,,,peace,William Randal,Cremer,male
466,1905,,,peace,Baroness Bertha Sophie Felicita,"von Suttner, née Countess Kinsky von Chinic und Tettau",female
467,1906,,,peace,Theodore,Roosevelt,male
468,1907,,,peace,Ernesto Teodoro,Moneta,male
469,1907,FRA,Paris,peace,Louis,Renault,male
470,1908,,,peace,Klas Pontus,Arnoldson,male
471,1908,,,peace,Fredrik,Bajer,male
472,1909,,,peace,Auguste Marie François,Beernaert,male
473,1909,,,peace,Paul Henri Benjamin Balluet,"d'Estournelles de Constant, Baron de Constant de Rebecque",male
474,1911,,,peace,Tobias Michael Carel,Asser,male
475,1911,,,peace,Alfred Hermann,Fried,male
476,1912,,,peace,Elihu,Root,male
477,1913,,,peace,Henri,La Fontaine,male
478,1919,,,peace,Thomas Woodrow,Wilson,male
479,1920,,,peace,Léon Victor Auguste,Bourgeois,male
480,1921,,,peace,Karl Hjalmar,Branting,male
481,1921,,,peace,Christian Lous,Lange,male
482,1922,,,peace,Fridtjof,Nansen,male
483,1925,,,peace,Sir Austen,Chamberlain,male
484,1925,,,peace,Charles Gates,Dawes,male
485,1926,,,peace,Aristide,Briand,male
486,1926,,,peace,Gustav,Stresemann,male
487,1927,,,peace,Ferdinand,Buisson,male
488,1927,,,peace,Ludwig,Quidde,male
489,1929,,,peace,Frank Billings,Kellogg,male
490,1930,,,peace,Lars Olof Jonathan (Nathan),Söderblom,male
491,1931,,,peace,Jane,Addams,female
492,1931,USA,"New York, NY",peace,Nicholas Murray,Butler,male
493,1933,,,peace,Sir Norman,Angell (Ralph Lane),male
494,1934,,,peace,Arthur,Henderson,male
495,1935,,,peace,Carl,von Ossietzky,male
496,1936,,,peace,Carlos,Saavedra Lamas,male
497,1937,,,peace,"Cecil of Chelwood, Viscount",(Lord Edgar Algernon Robert Gascoyne Cecil),male
498,1945,,,peace,Cordell,Hull,male
499,1946,,,peace,Emily Greene,Balch,female
500,1946,,,peace,John Raleigh,Mott,male
501,1949,,,peace,Lord (John),Boyd Orr of Brechin,male
502,1950,USA,"Cambridge, MA",peace,Ralph,Bunche,male
503,1951,,,peace,Léon,Jouhaux,male
504,1952,,,peace,Albert,Schweitzer,male
505,1953,,,peace,George Catlett,Marshall,male
506,1957,,,peace,Lester Bowles,Pearson,male
507,1958,,,peace,Georges,Pire,male
508,1959,,,peace,Philip J.,Noel-Baker,male
509,1960,,,peace,Albert John,Lutuli,male
510,1961,,,peace,Dag Hjalmar Agne Carl,Hammarskjöld,male
511,1964,,,peace,Martin Luther,King Jr.,male
512,1968,,,peace,René,Cassin,male
513,1970,,,peace,Norman E.,Borlaug,male
514,1971,,,peace,Willy,Brandt,male
515,1973,,,peace,Henry A.,Kissinger,male
516,1973,,,peace,Le Duc Tho,,male
517,1974,,,peace,Seán,MacBride,male
518,1974,,,peace,Eisaku,Sato,male
519,1975,,,peace,Andrei Dmitrievich,Sakharov,male
520,1976,,,peace,Betty,Williams,female
521,1976,,,peace,Mairead,Corrigan,female
522,1978,,,peace,Mohamed Anwar,al-Sadat,male
523,1978,,,peace,Menachem,Begin,male
524,1979,,,peace,Mother Teresa,,female
525,1980,,,peace,Adolfo,Pérez Esquivel,male
526,1982,,,peace,Alva,Myrdal,female
527,1982,,,peace,Alfonso,García Robles,male
528,1983,,,peace,Lech,Walesa,male
529,1984,,,peace,Desmond Mpilo,Tutu,male
530,1986,,,peace,Elie,Wiesel,male
531,1987,,,peace,Oscar,Arias Sánchez,male
532,1989,,,peace,The 14th Dalai Lama (Tenzin Gyatso),,male
533,1990,,,peace,Mikhail Sergeyevich,Gorbachev,male
534,1991,,,peace,Aung San Suu Kyi,,female
535,1992,,,peace,Rigoberta,Menchú Tum,female
536,1993,,,peace,Nelson,Mandela,male
537,1993,,,peace,Frederik Willem,de Klerk,male
538,1994,,,peace,Yasser,Arafat,male
539,1994,,,peace,Shimon,Peres,male
540,1994,,,peace,Yitzhak,Rabin,male
541,1995,,,peace,Joseph,Rotblat,male
542,1996,,,peace,Carlos Filipe Ximenes,Belo,male
543,1996,,,peace,José,Ramos-Horta,male
544,1997,,,peace,Jody,Williams,female
545,1998,,,peace,John,Hume,male
546,1998,,,peace,David,Trimble,male
547,1901,,,literature,Sully,Prudhomme,male
548,1902,,,literature,Christian Matthias Theodor,Mommsen,male
549,1903,,,literature,Bjørnstjerne Martinus,Bjørnson,male
550,1904,,,literature,Frédéric,Mistral,male
551,1904,,,literature,José,Echegaray y Eizaguirre,male
552,1905,,,literature,Henryk,Sienkiewicz,male
553,1906,,,literature,Giosuè,Carducci,male
554,1907,,,literature,Rudyard,Kipling,male
555,1908,,,literature,Rudolf Christoph,Eucken,male
556,1909,,,literature,Selma Ottilia Lovisa,Lagerlöf,female
557,1910,,,literature,Paul Johann Ludwig,Heyse,male
558,1911,,,literature,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,male
559,1912,,,literature,Gerhart Johann Robert,Hauptmann,male
560,1913,,,literature,Rabindranath,Tagore,male
561,1915,,,literature,Romain,Rolland,male
562,1916,,,literature,Carl Gustaf Verner,von Heidenstam,male
563,1917,,,literature,Karl Adolph,Gjellerup,male
564,1917,,,literature,Henrik,Pontoppidan,male
565,1919,,,literature,Carl Friedrich Georg,Spitteler,male
566,1920,,,literature,Knut Pedersen,Hamsun,male
567,1921,,,literature,Anatole,France,male
568,1922,,,literature,Jacinto,Benavente,male
569,1923,,,literature,William Butler,Yeats,male
570,1924,,,literature,Wladyslaw Stanislaw,Reymont,male
571,1925,,,literature,George Bernard,Shaw,male
572,1926,,,literature,Grazia,Deledda,female
573,1927,,,literature,Henri,Bergson,male
574,1928,,,literature,Sigrid,Undset,female
575,1929,,,literature,Thomas,Mann,male
576,1930,,,literature,Sinclair,Lewis,male
577,1931,,,literature,Erik Axel,Karlfeldt,male
578,1932,,,literature,John,Galsworthy,male
579,1933,,,literature,Ivan Alekseyevich,Bunin,male
580,1934,,,literature,Luigi,Pirandello,male
581,1936,,,literature,Eugene Gladstone,O'Neill,male
582,1937,,,literature,Roger,Martin du Gard,male
583,1938,,,literature,Pearl,Buck,female
584,1939,,,literature,Frans Eemil,Sillanpää,male
585,1944,,,literature,Johannes Vilhelm,Jensen,male
586,1945,,,literature,Gabriela,Mistral,female
587,1946,,,literature,Hermann,Hesse,male
588,1947,,,literature,André Paul Guillaume,Gide,male
589,1948,,,literature,Thomas Stearns,Eliot,male
590,1949,,,literature,William,Faulkner,male
591,1950,,,literature,Earl (Bertrand Arthur William),Russell,male
592,1951,,,literature,Pär Fabian,Lagerkvist,male
593,1952,,,literature,François,Mauriac,male
594,1953,,,literature,Sir Winston Leonard Spencer,Churchill,male
595,1954,,,literature,Ernest Miller,Hemingway,male
596,1955,,,literature,Halldór Kiljan,Laxness,male
597,1956,,,literature,Juan Ramón,Jiménez,male
598,1957,,,literature,Albert,Camus,male
599,1958,,,literature,Boris Leonidovich,Pasternak,male
600,1959,,,literature,Salvatore,Quasimodo,male
601,1960,,,literature,Saint-John,Perse,male
602,1961,,,literature,Ivo,Andric,male
603,1962,,,literature,John,Steinbeck,male
604,1963,,,literature,Giorgos,Seferis,male
605,1964,,,literature,Jean-Paul,Sartre,male
606,1965,,,literature,Mikhail Aleksandrovich,Sholokhov,male
607,1966,,,literature,Shmuel Yosef,Agnon,male
608,1966,,,literature,Nelly,Sachs,female
609,1967,,,literature,Miguel Angel,Asturias,male
610,1968,,,literature,Yasunari,Kawabata,male
611,1969,,,literature,Samuel,Beckett,male
612,1970,,,literature,Aleksandr Isayevich,Solzhenitsyn,male
613,1971,,,literature,Pablo,Neruda,male
614,1972,,,literature,Heinrich,Böll,male
615,1973,,,literature,Patrick,White,male
616,1974,,,literature,Eyvind,Johnson,male
617,1974,,,literature,Harry,Martinson,male
618,1975,,,literature,Eugenio,Montale,male
619,1976,,,literature,Saul,Bellow,male
620,1977,,,literature,Vicente,Aleixandre,male
621,1978,,,literature,Isaac Bashevis,Singer,male
622,1979,,,literature,Odysseus,Elytis,male
623,1980,,,literature,Czeslaw,Milosz,male
624,1981,,,literature,Elias,Canetti,male
625,1982,,,literature,Gabriel,García Márquez,male
626,1983,,,literature,William,Golding,male
627,1984,,,literature,Jaroslav,Seifert,male
628,1985,,,literature,Claude,Simon,male
629,1986,,,literature,Wole,Soyinka,male
630,1987,,,literature,Joseph,Brodsky,male
631,1988,,,literature,Naguib,Mahfouz,male
632,1989,,,literature,Camilo José,Cela,male
633,1990,,,literature,Octavio,Paz,male
634,1991,,,literature,Nadine,Gordimer,female
635,1992,,,literature,Derek,Walcott,male
636,1993,,,literature,Toni,Morrison,female
637,1994,,,literature,Kenzaburo,Oe,male
638,1995,,,literature,Seamus,Heaney,male
639,1996,,,literature,Wislawa,Szymborska,female
640,1997,,,literature,Dario,Fo,male
641,1998,,,literature,José,Saramago,male
642,1999,,,literature,Günter,Grass,male
643,1969,NOR,Oslo,economics,Ragnar,Frisch,male
644,1969,,Rotterdam,economics,Jan,Tinbergen,male
645,1970,USA,"Cambridge, MA",economics,Paul A.,Samuelson,male
646,1971,USA,"Cambridge, MA",economics,Simon,Kuznets,male
647,1972,GBR,Oxford,economics,John R.,Hicks,male
648,1972,USA,"Cambridge, MA",economics,Kenneth J.,Arrow,male
649,1973,USA,"Cambridge, MA",economics,Wassily,Leontief,male
650,1974,,,economics,Gunnar,Myrdal,male
651,1974,,,economics,Friedrich August,von Hayek,male
652,1975,,Moscow,economics,Leonid Vitaliyevich,Kantorovich,male
653,1975,USA,"New Haven, CT",economics,Tjalling C.,Koopmans,male
654,1976,USA,"Chicago, IL",economics,Milton,Friedman,male
655,1977,SWE,Stockholm,economics,Bertil,Ohlin,male
656,1977,GBR,Cambridge,economics,James E.,Meade,male
657,1978,USA,"Pittsburgh, PA",economics,Herbert A.,Simon,male
658,1979,USA,"Chicago, IL",economics,Theodore W.,Schultz,male
659,1979,USA,"Princeton, NJ",economics,Sir Arthur,Lewis,male
660,1980,USA,"Philadelphia, PA",economics,Lawrence R.,Klein,male
661,1981,USA,"New Haven, CT",economics,James,Tobin,male
662,1982,USA,"Chicago, IL",economics,George J.,Stigler,male
663,1983,USA,"Berkeley, CA",economics,Gerard,Debreu,male
664,1984,GBR,Cambridge,economics,Richard,Stone,male
665,1985,USA,"Cambridge, MA",economics,Franco,Modigliani,male
666,1986,USA,"Fairfax, VA",economics,James M.,Buchanan Jr.,male
667,1987,USA,"Cambridge, MA",economics,Robert M.,Solow,male
668,1988,FRA,Paris,economics,Maurice,Allais,male
669,1989,NOR,Oslo,economics,Trygve,Haavelmo,male
670,1990,USA,"New York, NY",economics,Harry M.,Markowitz,male
671,1990,USA,"Chicago, IL",economics,Merton H.,Miller,male
672,1990,USA,"Stanford, CA",economics,William F.,Sharpe,male
673,1991,USA,"Chicago, IL",economics,Ronald H.,Coase,male
674,1992,USA,"Chicago, IL",economics,Gary S.,Becker,male
675,1993,USA,"Chicago, IL",economics,Robert W.,Fogel,male
676,1993,USA,"St. Louis, MO",economics,Douglass C.,North,male
677,1994,USA,"Berkeley, CA",economics,John C.,Harsanyi,male
678,1994,USA,"Princeton, NJ",economics,John F.,Nash Jr.,male
679,1994,,Bonn,economics,Reinhard,Selten,male
680,1995,USA,"Chicago, IL",economics,Robert E.,Lucas Jr.,male
681,1996,GBR,Cambridge,economics,James A.,Mirrlees,male
682,1996,USA,"New York, NY",economics,William,Vickrey,male
683,1997,USA,"Cambridge, MA",economics,Robert C.,Merton,male
684,1997,USA,"Greenwich, CT",economics,Myron S.,Scholes,male
685,1998,GBR,Cambridge,economics,Amartya,Sen,male
686,1999,USA,"New York, NY",economics,Robert A.,Mundell,male
687,1958,,Moscow,physics,Il´ja Mikhailovich,Frank,male
688,2000,SWE,Gothenburg,medicine,Arvid,Carlsson,male
689,2000,USA,"New York, NY",medicine,Paul,Greengard,male
690,2000,USA,"New York, NY",medicine,Eric R.,Kandel,male
691,2000,,,peace,Kim,Dae-jung,male
692,2000,,St. Petersburg,physics,Zhores I.,Alferov,male
693,2000,USA,"Santa Barbara, CA",physics,Herbert,Kroemer,male
694,2000,USA,"Dallas, TX",physics,Jack S.,Kilby,male
695,2000,USA,"Santa Barbara, CA",chemistry,Alan J.,Heeger,male
696,2000,USA,"Philadelphia, PA",chemistry,Alan G.,MacDiarmid,male
697,2000,JPN,Tokyo,chemistry,Hideki,Shirakawa,male
698,2000,USA,"Chicago, IL",economics,James J.,Heckman,male
699,2000,USA,"Berkeley, CA",economics,Daniel L.,McFadden,male
700,2000,,,literature,Gao,Xingjian,male
701,2001,USA,"Seattle, WA",medicine,Leland H.,Hartwell,male
702,2001,GBR,London,medicine,Tim,Hunt,male
703,2001,GBR,London,medicine,Sir Paul M.,Nurse,male
704,2001,USA,"Boulder, CO",physics,Eric A.,Cornell,male
705,2001,USA,"Cambridge, MA",physics,Wolfgang,Ketterle,male
706,2001,USA,"Boulder, CO",physics,Carl E.,Wieman,male
707,2001,USA,"St. Louis, MO",chemistry,William S.,Knowles,male
708,2001,JPN,Nagoya,chemistry,Ryoji,Noyori,male
709,2001,USA,"La Jolla, CA",chemistry,K. Barry,Sharpless,male
710,2001,USA,"Berkeley, CA",economics,George A.,Akerlof,male
711,2001,USA,"Stanford, CA",economics,A. Michael,Spence,male
712,2001,USA,"New York, NY",economics,Joseph E.,Stiglitz,male
713,2001,,,literature,Sir Vidiadhar Surajprasad,Naipaul,male
714,2001,,,peace,Kofi,Annan,male
715,2002,USA,"Berkeley, CA",medicine,Sydney,Brenner,male
716,2002,USA,"Cambridge, MA",medicine,H. Robert,Horvitz,male
717,2002,GBR,Cambridge,medicine,John E.,Sulston,male
718,2002,USA,"Philadelphia, PA",physics,Raymond,Davis Jr.,male
719,2002,JPN,Tokyo,physics,Masatoshi,Koshiba,male
720,2002,USA,"Washington, DC",physics,Riccardo,Giacconi,male
721,2002,USA,"Richmond, VA",chemistry,John B.,Fenn,male
722,2002,JPN,Kyoto,chemistry,Koichi,Tanaka,male
723,2002,CHE,Zurich,chemistry,Kurt,Wüthrich,male
724,2002,USA,"Princeton, NJ",economics,Daniel,Kahneman,male
725,2002,USA,"Fairfax, VA",economics,Vernon L.,Smith,male
726,2002,,,literature,Imre,Kertész,male
727,2002,,,peace,Jimmy,Carter,male
728,2003,,,literature,John M.,Coetzee,male
729,2003,USA,"Urbana, IL",medicine,Paul C.,Lauterbur,male
730,2003,GBR,Nottingham,medicine,Sir Peter,Mansfield,male
731,2003,USA,"Argonne, IL",physics,Alexei A.,Abrikosov,male
732,2003,,Moscow,physics,Vitaly L.,Ginzburg,male
733,2003,USA,"Urbana, IL",physics,Anthony J.,Leggett,male
734,2003,USA,"Baltimore, MD",chemistry,Peter,Agre,male
735,2003,USA,"New York, NY",chemistry,Roderick,MacKinnon,male
736,2003,USA,"New York, NY",economics,Robert F.,Engle III,male
737,2003,USA,"San Diego, CA",economics,Clive W.J.,Granger,male
738,2003,,,peace,Shirin,Ebadi,female
739,2004,USA,"New York, NY",medicine,Richard,Axel,male
740,2004,USA,"Seattle, WA",medicine,Linda B.,Buck,female
741,2004,USA,"Santa Barbara, CA",physics,David J.,Gross,male
742,2004,USA,"Pasadena, CA",physics,H. David,Politzer,male
743,2004,USA,"Cambridge, MA",physics,Frank,Wilczek,male
744,2004,ISR,Haifa,chemistry,Aaron,Ciechanover,male
745,2004,ISR,Haifa,chemistry,Avram,Hershko,male
746,2004,USA,"Irvine, CA",chemistry,Irwin,Rose,male
747,2004,,,literature,Elfriede,Jelinek,female
