id,year,country,city,category,firstname,surname,gender
857,2014,DEU,Göttingen,chemistry,Stefan W.,Hell,male
858,2014,USA,"Stanford, CA",chemistry,William E.,Moerner,male
859,2014,,,literature,Patrick,Modiano,male
860,2014,,,peace,Kailash,Satyarthi,male
861,2014,,,peace,Malala,Yousafzai,female
862,2014,FRA,Toulouse,economics,Jean,Tirole,male
863,2015,USA,"Madison, NJ",medicine,William C.,Campbell,male
864,2015,JPN,Tokyo,medicine,Satoshi,Ōmura,male
865,2015,CHN,Beijing,medicine,Youyou,Tu,female
866,2015,JPN,Kashiwa,physics,Takaaki,Kajita,male
867,2015,CAN,Kingston,physics,Arthur B.,McDonald,male
868,2015,GBR,Hertfordshire,chemistry,Tomas,Lindahl,male
869,2015,USA,"Durham, NC",chemistry,Paul,Modrich,male
870,2015,USA,"Chapel Hill, NC",chemistry,Aziz,Sancar,male
871,2015,,,literature,Svetlana,Alexievich,female
872,2015,USA,"Princeton, NJ",economics,Angus,Deaton,male
873,2016,JPN,Tokyo,medicine,Yoshinori,Ohsumi,male
874,2016,USA,"Seattle, WA",physics,David J.,Thouless,male
875,2016,USA,"Princeton, NJ",physics,F. Duncan M.,Haldane,male
876,2016,USA,"Providence, RI",physics,J. Michael,Kosterlitz,male
877,2016,FRA,Strasbourg,chemistry,Jean-Pierre,Sauvage,male
878,2016,USA,"Evanston, IL",chemistry,Sir J. Fraser,Stoddart,male
879,2016,,Groningen,chemistry,Bernard L.,Feringa,male
880,2016,,,peace,Juan Manuel,Santos,male
881,2016,USA,"Cambridge, MA",economics,Oliver,Hart,male
882,2016,USA,"Cambridge, MA",economics,Bengt,Holmström,male
883,2016,,,literature,Bob,Dylan,male
884,2017,,,physics,Rainer,Weiss,male
885,2017,,,physics,Barry C.,Barish,male
886,2017,,,physics,Kip S.,Thorne,male
887,2017,CHE,Lausanne,chemistry,Jacques,Dubochet,male
888,2017,USA,"New York, NY",chemistry,Joachim,Frank,male
889,2017,GBR,Cambridge,chemistry,Richard,Henderson,male
890,2017,,,literature,Kazuo,Ishiguro,male
891,2017,USA,"Chicago, IL",economics,Richard H.,Thaler,male
