year,country,city,category,firstname,surname,gender
1901,Germany,Munich,physics,Wilhelm Conrad,Röntgen,male
1902,the Netherlands,Leiden,physics,Hendrik Antoon,Lorentz,male
1902,the Netherlands,Amsterdam,physics,Pieter,Zeeman,male
1903,France,Paris,physics,Antoine Henri,Becquerel,male
1903,France,Paris,physics,Pierre,Curie,male
1903,,,physics,Marie,"Curie, née Sklodowska",female
1911,France,Paris,chemistry,Marie,"Curie, née Sklodowska",female
1904,United Kingdom,London,physics,Lord Rayleigh,(John William Strutt),male
1905,Germany,Kiel,physics,Philipp Eduard Anton,von Lenard,male
1906,United Kingdom,Cambridge,physics,Joseph John,Thomson,male
1907,USA,"Chicago, IL",physics,Albert Abraham,Michelson,male
1908,France,Paris,physics,Gabriel,Lippmann,male
1909,United Kingdom,London,physics,Guglielmo,Marconi,male
1909,"Alsace (then Germany, now France)",Strasbourg,physics,Karl Ferdinand,Braun,male
1910,the Netherlands,Amsterdam,physics,Johannes Diderik,van der Waals,male
1911,Germany,Würzburg,physics,Wilhelm,Wien,male
1912,Sweden,Lidingö-Stockholm,physics,Nils Gustaf,Dalén,male
1913,the Netherlands,Leiden,physics,Heike,Kamerlingh Onnes,male
1914,Germany,Frankfurt-on-the-Main,physics,Max,von Laue,male
1915,United Kingdom,London,physics,Sir William Henry,Bragg,male
1915,United Kingdom,Manchester,physics,William Lawrence,Bragg,male
1917,United Kingdom,Edinburgh,physics,Charles Glover,Barkla,male
1918,Germany,Berlin,physics,Max Karl Ernst Ludwig,Planck,male
1919,Germany,Greifswald,physics,Johannes,Stark,male
1920,France,Sèvres,physics,Charles Edouard,Guillaume,male
1921,Germany,Berlin,physics,Albert,Einstein,male
1922,Denmark,Copenhagen,physics,Niels Henrik David,Bohr,male
1923,USA,"Pasadena, CA",physics,Robert Andrews,Millikan,male
1924,Sweden,Uppsala,physics,Karl Manne Georg,Siegbahn,male
1925,Germany,Göttingen,physics,James,Franck,male
1925,Germany,Halle,physics,Gustav Ludwig,Hertz,male
1926,France,Paris,physics,Jean Baptiste,Perrin,male
1927,USA,"Chicago, IL",physics,Arthur Holly,Compton,male
1927,United Kingdom,Cambridge,physics,Charles Thomson Rees,Wilson,male
1928,United Kingdom,London,physics,Owen Willans,Richardson,male
